Date,Close/Last,Volume,Open,High,Low
7/20/2020,98.360,90317920,96.420,98.500,96.060
7/17/2020,96.330,92186920,96.990,97.150,95.840
7/16/2020,96.520,110577680,96.560,97.410,95.910
7/15/2020,97.730,153197920,98.990,99.250,96.490
7/14/2020,97.060,170989360,94.840,97.260,93.880
7/13/2020,95.480,191649160,97.270,99.960,95.260
7/10/2020,95.920,90257320,95.340,95.980,94.710
7/9/2020,95.680,125642600,96.260,96.320,94.670
7/8/2020,95.340,117091880,94.180,95.380,94.090
7/7/2020,93.170,112424440,93.850,94.660,93.060
7/6/2020,93.460,118655640,92.500,93.950,92.470
7/2/2020,91.030,114041480,91.960,92.620,90.910
7/1/2020,91.030,110737240,91.280,91.840,90.980
6/30/2020,91.200,140223280,90.020,91.500,90.000
6/29/2020,90.450,130646080,88.310,90.540,87.820
6/26/2020,88.410,205256840,91.100,91.330,88.260
6/25/2020,91.210,137522520,90.180,91.250,89.390
6/24/2020,90.020,192623400,91.250,92.200,89.630
6/23/2020,91.630,212155480,91.000,93.100,90.570
6/22/2020,89.720,135445280,87.840,89.870,87.790
6/19/2020,87.430,264475800,88.660,89.140,86.290
6/18/2020,87.930,96820400,87.850,88.360,87.310
6/17/2020,87.900,114406520,88.790,88.850,87.770
6/16/2020,88.020,165428720,87.870,88.300,86.180
6/15/2020,85.750,138808920,83.310,86.420,83.150
6/12/2020,84.700,200146040,86.180,86.950,83.560
6/11/2020,83.980,201662440,87.330,87.770,83.870
6/10/2020,88.210,166651760,86.980,88.690,86.520
6/9/2020,86.000,147712360,83.040,86.400,83.000
6/8/2020,83.370,95654520,82.560,83.400,81.830
6/5/2020,82.880,137250200,80.840,82.940,80.810
6/4/2020,80.580,87560360,81.100,81.410,80.200
6/3/2020,81.280,104491200,81.170,81.550,80.580
6/2/2020,80.840,87642800,80.190,80.860,79.730
6/1/2020,80.460,81018600,79.440,80.590,79.300
5/29/2020,79.490,153598120,79.810,80.290,79.120
5/28/2020,79.560,133796400,79.190,80.860,78.910
5/27/2020,79.530,112945080,79.040,79.680,78.270
5/26/2020,79.180,125521800,80.880,81.060,79.130
5/22/2020,79.720,81803000,78.940,79.810,78.840
5/21/2020,79.210,102688840,79.670,80.220,78.970
5/20/2020,79.810,111504880,79.170,79.880,79.050
5/19/2020,78.290,101729560,78.760,79.630,78.250
